"","word","frequency","phones"
"223","necklace",0.0308395202741291,6
"224","nice",1.47058823529412,3
"225","night",0.420331239291833,3
"226","night night",0.0102798400913764,3
"227","no",9.8715019988578,2
"228","none",0.0456881781838949,3
"229","noodles",0.0451170759565962,5
"230","nose",0.802969731581953,3
"231","not",4.48372358652199,3
"232","now",4.38492290119931,2
"233","off",2.12164477441462,2
"234","old",0.378640776699029,3
"235","on",11.9371787549971,2
"236","open",0.941176470588235,4
"237","orange",0.44774414620217,5
"238","other",1.42432895488292,3
"239","ouch",0.10451170759566,3
"240","out",3.3055396916048,2
"241","outside",0.527698458023986,5
"242","oven",0.0616790405482581,3
"243","owie",0.0222729868646488,2
"244","owl",0.0742432895488292,2
"245","pajamas",0.115933752141633,7
"246","pants",0.303826384922901,4
"247","paper",0.535693889206168,4
"248","park",0.131353512278698,3
"249","party",0.178754997144489,4
"250","pattycake",0.116504854368932,7
"251","peas",0.0776699029126214,3
"252","peekaboo",0.653912050256996,6
"253","pen",0.0959451741861793,3
"254","penguin",0.0268418046830383,7
"255","penny",0.0359794403198173,4
"256","people",0.611079383209595,4
"257","person",0.0953740719588806,4
"258","picture",0.588235294117647,6
"259","pig",0.303255282695603,3
"260","pillow",0.0759565962307253,4
"261","pizza",0.0171330668189606,4
"262","plant",0.0508280982295831,5
"263","plate",0.127355796687607,4
"264","play",2.66761850371216,3
"265","please",0.912621359223301,4
"266","pony",0.049114791547687,4
"267","pool",0.0731010850942319,3
"268","potty",0.00685322672758424,4
"269","pretty",1.21473443746431,5
"270","pull",0.580239862935465,3
"271","puppy",0.166190748143918,4
"272","purse",0.0439748715019989,3
"273","push",0.814391776127927,3
"274","put",7.66933181039406,3
"275","quack quack",0.0685322672758424,4
"276","radio",0.067390062821245,5
"277","rain",0.110222729868646,3
"278","raisin",0.019988577955454,4
"279","read",1.17932609937179,3
"280","red",0.781838949171902,3
"281","refrigerator",0.102798400913764,11
"282","ride",0.400913763563678,3
"283","rock",0.119360365505425,3
"284","rocking chair",0.0114220445459737,8
"285","run",0.25642490005711,3
"286","same",0.24328954882924,3
"287","say",3.9583095374072,2
"288","scared",0.0805254140491148,4
"289","school",0.560251284980011,4
"290","scissors",0.0622501427755568,5
"291","see",8.86236436322102,2
"292","sheep",0.194745859508852,3
"293","shh",0.0456881781838949,1
"294","shirt",0.312392918332381,3
"295","shoe",0.275271273557967,2
"296","shorts",0.0399771559109081,4
"297","shovel",0.0468303826384923,4
"298","show",0.821245002855511,2
"299","sick",0.102798400913764,3
"300","sing",0.408338092518561,3
"301","sink",0.0513992004568818,4
"302","sister",0.123929183323815,5
"303","sky",0.0959451741861793,3
"304","sleep",0.439748715019989,4
"305","sleepy",0.186179326099372,5
"306","slide",0.127355796687607,4
"307","smile",0.0633923472301542,4
"308","snow",0.0999428897772701,3
"309","soap",0.10451170759566,3
"310","sock",0.137635636778983,3
"311","soft",0.154197601370645,4
"312","some",3.90291262135922,3
"313","spaghetti",0.0799543118218161,7
"314","splash",0.0719588806396345,5
"315","spoon",0.348372358652199,4
"316","squirrel",0.0548258138206739,6
"317","stairs",0.110793832095945,3
"318","star",0.0890919474585951,3
